"choose
select",0
,
"choose
select",
,
"user_firstname
user_pin",1
,
"User
Login",1
,
"maximize use
maximize time",1
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"child
Sibling",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"child
Sibling",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"child
Sibling",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"choose
select",0
,
"Patient
Therapy",1
,
"form_ntp_visit1
form_consult",1
,
"form_consult
consult",1
